price,volume,unix_time,buy_sell,mark_lim,misc,time,last
97,1,1378856832,s,m,NA,2013-09-11 01:47:11,1.3838394366596E+018
99.9,0.1,1378859635,b,m,NA,2013-09-11 02:33:54,1.3838394366596E+018
99.9,0.1,1378859669,b,m,NA,2013-09-11 02:34:29,1.3838394366596E+018
98.2,0.1,1378869758,b,l,NA,2013-09-11 05:22:38,1.3838394366596E+018
96.91,0.5,1378875023,s,m,NA,2013-09-11 06:50:23,1.3838394366596E+018
96.9,0.5,1378875023,s,m,NA,2013-09-11 06:50:23,1.3838394366596E+018
96.8,0.25,1378885272,s,l,NA,2013-09-11 09:41:11,1.3838394366596E+018
96.75,0.5,1378891354,b,l,NA,2013-09-11 11:22:34,1.3838394366596E+018
96,0.01,1379070996,s,m,NA,2013-09-13 13:16:36,1.3838394366596E+018
96.99,0.00987833,1379071035,b,m,NA,2013-09-13 13:17:15,1.3838394366596E+018
